Team,Team Mascot,Full Name,First Name,Last Name,Position,Overall,Season Year,Offense/Defense,Strength,Speed,Injury
SF,49ers ,Vernon Davis,Vernon,Davis,TE,84,2015,Offense,87,87,90
SF,49ers ,Vance McDonald,Vance,McDonald,TE,78,2015,Offense,85,81,88
SF,49ers ,Garrett Celek,Garrett,Celek,TE,72,2015,Offense,73,79,80
SF,49ers ,Derek Carrier,Derek,Carrier,TE,69,2015,Offense,64,87,88
SF,49ers ,Asante Cleveland,Asante,Cleveland,TE,68,2015,Offense,75,75,91
SF,49ers ,Blake Bell,Blake,Bell,TE,65,2015,Offense,70,79,77
SF,49ers ,Busta Anderson,Busta,Anderson,TE,64,2015,Offense,62,81,69
SF,49ers ,Kyle Nelson,Kyle,Nelson,TE,50,2015,Offense,68,81,92
SF,49ers ,Anquan Boldin,Anquan,Boldin,WR,88,2015,Offense,81,77,84
SF,49ers ,Torrey Smith,Torrey,Smith,WR,86,2015,Offense,58,89,93
SF,49ers ,Jerome Simpson,Jerome,Simpson,WR,74,2015,Offense,56,87,92
SF,49ers ,Quinton Patton,Quinton,Patton,WR,71,2015,Offense,44,87,90
SF,49ers ,Bruce Ellington,Bruce,Ellington,WR,68,2015,Offense,56,90,91
SF,49ers ,DeAndre Smelter,DeAndre,Smelter,WR,67,2015,Offense,70,87,73
SF,49ers ,DeAndrew White,DeAndrew,White,WR,66,2015,Offense,55,91,71
SF,49ers ,Dres Anderson,Dres,Anderson,WR,65,2015,Offense,65,88,75
CHI,Bears ,Will Montgomery,Will,Montgomery,C,84,2015,Offense,92,62,92
CHI,Bears ,Hroniss Grasu,Hroniss,Grasu,C,69,2015,Offense,76,71,87
CHI,Bears ,Tim Jennings,Tim,Jennings,CB,86,2015,Defense,44,89,91
CHI,Bears ,Alan Ball,Alan,Ball,CB,79,2015,Defense,57,83,87
CHI,Bears ,Kyle Fuller,Kyle,Fuller,CB,78,2015,Defense,57,92,88
CHI,Bears ,Tracy Porter,Tracy,Porter,CB,73,2015,Defense,47,89,76
CHI,Bears ,Demontre Hurst,Demontre,Hurst,CB,68,2015,Defense,42,87,92
CHI,Bears ,Sherrick McManis,Sherrick,McManis,CB,67,2015,Defense,55,86,76
CHI,Bears ,Bryce Callahan,Bryce,Callahan,CB,66,2015,Defense,62,95,88
CHI,Bears ,Terrance Mitchell,Terrance,Mitchell,CB,66,2015,Defense,43,84,94
CHI,Bears ,Al Louis-Jean,Al,Louis-Jean,CB,61,2015,Defense,46,88,76
CHI,Bears ,Will Sutton,Will,Sutton,DT,72,2015,Defense,82,60,87
CHI,Bears ,Eddie Goldman,Eddie,Goldman,DT,70,2015,Defense,81,63,85
CHI,Bears ,Bear Pascoe,Bear,Pascoe,FB,82,2015,Offense,80,72,92
CHI,Bears ,Brock Vereen,Brock,Vereen,FS,75,2015,Defense,75,89,92
CHI,Bears ,Adrian Amos,Adrian,Amos,FS,66,2015,Defense,73,93,92
CHI,Bears ,Matt Forte,Matt,Forte,HB,90,2015,Offense,74,86,93
CHI,Bears ,Jacquizz Rodgers,Jacquizz,Rodgers,HB,76,2015,Offense,62,86,87
CHI,Bears ,Ka'Deem Carey,Ka'Deem,Carey,HB,74,2015,Offense,67,82,90
CHI,Bears ,Jeremy Langford,Jeremy,Langford,HB,71,2015,Offense,71,92,88
CHI,Bears ,Senorise Perry,Senorise,Perry,HB,64,2015,Offense,67,92,83
CHI,Bears ,Robbie Gould,Robbie,Gould,K,88,2015,Special Teams,25,55,90
CHI,Bears ,Jeremiah Ratliff,Jeremiah,Ratliff,LE,85,2015,Defense,85,71,86
CHI,Bears ,Jarvis Jenkins,Jarvis,Jenkins,LE,72,2015,Defense,91,72,80
CHI,Bears ,Brandon Dunn,Brandon,Dunn,LE,61,2015,Defense,78,66,90
CHI,Bears ,Matt Slauson,Matt,Slauson,LG,84,2015,Offense,91,60,85
CHI,Bears ,Michael Ola,Michael,Ola,LG,74,2015,Offense,84,62,92
CHI,Bears ,Ryan Groy,Ryan,Groy,LG,71,2015,Offense,86,65,96
CHI,Bears ,Pernell McPhee,Pernell,McPhee,LOLB,87,2015,Defense,90,76,87
CHI,Bears ,Lamarr Houston,Lamarr,Houston,LOLB,77,2015,Defense,85,74,87
CHI,Bears ,Willie Young,Willie,Young,LOLB,72,2015,Defense,79,75,90
CHI,Bears ,David Bass,David,Bass,LOLB,64,2015,Defense,74,76,95
CHI,Bears ,Jermon Bushrod,Jermon,Bushrod,LT,79,2015,Offense,90,69,92
CHI,Bears ,Charles Leno,Charles,Leno,LT,65,2015,Offense,79,63,90
CHI,Bears ,Mason Foster,Mason,Foster,MLB,76,2015,Defense,65,78,87
CHI,Bears ,Jon Bostic,Jon,Bostic,MLB,75,2015,Defense,71,84,95
CHI,Bears ,Sam Acho,Sam,Acho,MLB,73,2015,Defense,71,81,95
CHI,Bears ,Christian Jones,Christian,Jones,MLB,65,2015,Defense,65,80,94
CHI,Bears ,DeDe Lattimore,DeDe,Lattimore,MLB,61,2015,Defense,70,83,95
CHI,Bears ,Pat O'Donnell,Pat,O'Donnell,P,73,2015,Special Teams,65,84,85
CHI,Bears ,Jay Cutler,Jay,Cutler,QB,79,2015,Offense,69,74,90
CHI,Bears ,Jimmy Clausen,Jimmy,Clausen,QB,72,2015,Offense,51,77,95
CHI,Bears ,David Fales,David,Fales,QB,66,2015,Offense,57,72,94
CHI,Bears ,Shane Carden,Shane,Carden,QB,65,2015,Offense,48,74,87
CHI,Bears ,Pat Devlin,Pat,Devlin,QB,65,2015,Offense,52,76,93
CHI,Bears ,Ego Ferguson,Ego,Ferguson,RE,69,2015,Defense,83,68,89
CHI,Bears ,Olsen Pierre,Olsen,Pierre,RE,59,2015,Defense,75,66,90
CHI,Bears ,Kyle Long,Kyle,Long,RG,88,2015,Offense,84,73,89
CHI,Bears ,Vladimir Ducasse,Vladimir,Ducasse,RG,72,2015,Offense,92,62,89
CHI,Bears ,Conor Boffeli,Conor,Boffeli,RG,68,2015,Offense,85,62,92
CHI,Bears ,Jared Allen,Jared,Allen,ROLB,79,2015,Defense,84,74,90
CHI,Bears ,Shea McClellin,Shea,McClellin,ROLB,78,2015,Defense,67,83,91
CHI,Bears ,Cornelius Washington,Cornelius,Washington,ROLB,69,2015,Defense,91,86,87
CHI,Bears ,Jordan Mills,Jordan,Mills,RT,74,2015,Offense,83,59,93
CHI,Bears ,Jason Weaver,Jason,Weaver,RT,68,2015,Offense,88,56,88
CHI,Bears ,Tayo Fabuluje,Tayo,Fabuluje,RT,61,2015,Offense,84,54,88
CHI,Bears ,Ryan Mundy,Ryan,Mundy,SS,81,2015,Defense,65,83,91
CHI,Bears ,Antrel Rolle,Antrel,Rolle,SS,81,2015,Defense,63,82,89
CHI,Bears ,Anthony Jefferson,Anthony,Jefferson,SS,67,2015,Defense,66,85,78
CHI,Bears ,Martellus Bennett,Martellus,Bennett,TE,90,2015,Offense,79,78,89
CHI,Bears ,Dante Rosario,Dante,Rosario,TE,72,2015,Offense,76,74,91
CHI,Bears ,Zach Miller,Zach,Miller,TE,71,2015,Offense,64,84,82
CHI,Bears ,Thomas Gafford,Thomas,Gafford,TE,69,2015,Offense,72,72,93
CHI,Bears ,Blake Annen,Blake,Annen,TE,65,2015,Offense,77,91,92
CHI,Bears ,Chris Pantale,Chris,Pantale,TE,64,2015,Offense,69,71,88
CHI,Bears ,Alshon Jeffery,Alshon,Jeffery,WR,90,2015,Offense,79,88,91
CHI,Bears ,Eddie Royal,Eddie,Royal,WR,81,2015,Offense,46,88,90
CHI,Bears ,Kevin White,Kevin,White,WR,78,2015,Offense,75,94,92
CHI,Bears ,Marquess Wilson,Marquess,Wilson,WR,73,2015,Offense,47,87,92
CHI,Bears ,Marc Mariani,Marc,Mariani,WR,69,2015,Offense,55,86,87
CHI,Bears ,Joshua Bellamy,Joshua,Bellamy,WR,68,2015,Offense,63,88,92
CHI,Bears ,John Chiles,John,Chiles,WR,66,2015,Offense,57,89,87
CIN,Bengals ,Russell Bodine,Russell,Bodine,C,75,2015,Offense,97,66,93
CIN,Bengals ,T.J. Johnson,T.J.,Johnson,C,67,2015,Offense,86,60,92
CIN,Bengals ,Leon Hall,Leon,Hall,CB,86,2015,Defense,66,87,87
CIN,Bengals ,Adam Jones,Adam,Jones,CB,81,2015,Defense,48,86,88
CIN,Bengals ,Dre Kirkpatrick,Dre,Kirkpatrick,CB,77,2015,Defense,65,87,85
CIN,Bengals ,Darqueze Dennard,Darqueze,Dennard,CB,76,2015,Defense,57,91,87
CIN,Bengals ,Brandon Ghee,Brandon,Ghee,CB,70,2015,Defense,64,90,90
CIN,Bengals ,Chris Lewis-Harris,Chris,Lewis-Harris,CB,68,2015,Defense,57,88,92
CIN,Bengals ,Josh Shaw,Josh,Shaw,CB,68,2015,Defense,75,91,78
CIN,Bengals ,Onterio McCalebb,Onterio,McCalebb,CB,60,2015,Defense,47,95,83
CIN,Bengals ,Geno Atkins,Geno,Atkins,DT,89,2015,Defense,89,77,85
CIN,Bengals ,Pat Sims,Pat,Sims,DT,75,2015,Defense,89,66,87
CIN,Bengals ,Devon Still,Devon,Still,DT,73,2015,Defense,82,72,84
CIN,Bengals ,Domata Peko,Domata,Peko,DT,72,2015,Defense,87,57,92
CIN,Bengals ,Kwame Geathers,Kwame,Geathers,DT,69,2015,Defense,89,56,88
CIN,Bengals ,Brandon Thompson,Brandon,Thompson,DT,69,2015,Defense,91,64,90
CIN,Bengals ,Marcus Hardison,Marcus,Hardison,DT,64,2015,Defense,82,75,87
CIN,Bengals ,Ryan Hewitt,Ryan,Hewitt,FB,84,2015,Offense,66,76,93
CIN,Bengals ,Reggie Nelson,Reggie,Nelson,FS,86,2015,Defense,59,89,95
CIN,Bengals ,Shiloh Keo,Shiloh,Keo,FS,74,2015,Defense,72,81,90
CIN,Bengals ,Derron Smith,Derron,Smith,FS,67,2015,Defense,70,85,81
CIN,Bengals ,Jeremy Hill,Jeremy,Hill,HB,86,2015,Offense,78,88,94
CIN,Bengals ,Giovani Bernard,Giovani,Bernard,HB,84,2015,Offense,59,87,84
CIN,Bengals ,Rex Burkhead,Rex,Burkhead,HB,72,2015,Offense,68,80,87
CIN,Bengals ,Cedric Peerman,Cedric,Peerman,HB,72,2015,Offense,75,90,84
CIN,Bengals ,James Wilder Jr.,James,Wilder Jr.,HB,63,2015,Offense,67,76,85
CIN,Bengals ,Mike Nugent,Mike,Nugent,K,76,2015,Special Teams,34,75,90
CIN,Bengals ,Carlos Dunlap,Carlos,Dunlap,LE,88,2015,Defense,79,80,86
CIN,Bengals ,Margus Hunt,Margus,Hunt,LE,73,2015,Defense,88,84,85
CIN,Bengals ,Clint Boling,Clint,Boling,LG,84,2015,Offense,82,60,97
CIN,Bengals ,Emmanuel Lamur,Emmanuel,Lamur,LOLB,74,2015,Defense,69,83,88
CIN,Bengals ,Jayson DiManche,Jayson,DiManche,LOLB,70,2015,Defense,71,87,91
CIN,Bengals ,Marquis Flowers,Marquis,Flowers,LOLB,66,2015,Defense,76,88,91
CIN,Bengals ,Sam Montgomery,Sam,Montgomery,LOLB,65,2015,Defense,75,77,85
CIN,Bengals ,Andrew Whitworth,Andrew,Whitworth,LT,95,2015,Offense,94,61,90
CIN,Bengals ,Cedric Ogbuehi,Cedric,Ogbuehi,LT,73,2015,Offense,82,73,74
CIN,Bengals ,Rey Maualuga,Rey,Maualuga,MLB,83,2015,Defense,80,82,89
CIN,Bengals ,A.J. Hawk,A.J.,Hawk,MLB,77,2015,Defense,73,80,97
CIN,Bengals ,Nico Johnson,Nico,Johnson,MLB,73,2015,Defense,74,80,92
CIN,Bengals ,Kevin Huber,Kevin,Huber,P,82,2015,Special Teams,55,69,95
CIN,Bengals ,Andy Dalton,Andy,Dalton,QB,80,2015,Offense,54,76,96
CIN,Bengals ,A.J. McCarron,A.J.,McCarron,QB,72,2015,Offense,52,74,94
CIN,Bengals ,Josh Johnson,Josh,Johnson,QB,69,2015,Offense,53,83,92
CIN,Bengals ,Terrelle Pryor,Terrelle,Pryor,QB,65,2015,Offense,73,89,90
CIN,Bengals ,Michael Johnson,Michael,Johnson,RE,81,2015,Defense,73,81,88
CIN,Bengals ,Wallace Gilberry,Wallace,Gilberry,RE,74,2015,Defense,74,68,90
CIN,Bengals ,Will Clarke,Will,Clarke,RE,69,2015,Defense,76,79,87
CIN,Bengals ,Kevin Zeitler,Kevin,Zeitler,RG,89,2015,Offense,91,60,79
CIN,Bengals ,Trey Hopkins,Trey,Hopkins,RG,65,2015,Offense,87,64,91
CIN,Bengals ,Vontaze Burfict,Vontaze,Burfict,ROLB,86,2015,Defense,79,76,96
CIN,Bengals ,Vincent Rey,Vincent,Rey,ROLB,78,2015,Defense,67,83,93
CIN,Bengals ,P.J. Dawson,P.J.,Dawson,ROLB,72,2015,Defense,73,80,92
CIN,Bengals ,Chris Carter,Chris,Carter,ROLB,70,2015,Defense,64,84,85
CIN,Bengals ,Sean Porter,Sean,Porter,ROLB,70,2015,Defense,70,79,78
CIN,Bengals ,Andre Smith,Andre,Smith,RT,85,2015,Offense,95,59,88
CIN,Bengals ,Eric Winston,Eric,Winston,RT,75,2015,Offense,82,68,89
CIN,Bengals ,Jake Fisher,Jake,Fisher,RT,72,2015,Offense,77,72,83
CIN,Bengals ,Tanner Hawkinson,Tanner,Hawkinson,RT,70,2015,Offense,79,69,97
CIN,Bengals ,George Iloka,George,Iloka,SS,86,2015,Defense,67,84,95
CIN,Bengals ,Shawn Williams,Shawn,Williams,SS,74,2015,Defense,74,89,94
CIN,Bengals ,Tyler Eifert,Tyler,Eifert,TE,81,2015,Offense,71,82,90
CIN,Bengals ,Tyler Kroft,Tyler,Kroft,TE,70,2015,Offense,69,81,85
CIN,Bengals ,Jake Murphy,Jake,Murphy,TE,68,2015,Offense,77,79,85
CIN,Bengals ,Clark Harris,Clark,Harris,TE,64,2015,Offense,74,74,88
CIN,Bengals ,C.J. Uzomah,C.J.,Uzomah,TE,63,2015,Offense,71,85,88
CIN,Bengals ,A.J. Green,A.J.,Green,WR,92,2015,Offense,69,87,95
CIN,Bengals ,Mohamed Sanu,Mohamed,Sanu,WR,79,2015,Offense,75,86,92
CIN,Bengals ,Marvin Jones,Marvin,Jones,WR,78,2015,Offense,66,88,75
CIN,Bengals ,Denarius Moore,Denarius,Moore,WR,73,2015,Offense,49,89,83
CIN,Bengals ,Brandon Tate,Brandon,Tate,WR,72,2015,Offense,66,88,79
CIN,Bengals ,Cobi Hamilton,Cobi,Hamilton,WR,67,2015,Offense,52,86,93
CIN,Bengals ,James Wright,James,Wright,WR,67,2015,Offense,63,90,92
CIN,Bengals ,Mario Alford,Mario,Alford,WR,62,2015,Offense,65,97,91
CIN,Bengals ,Tevin Reese,Tevin,Reese,WR,61,2015,Offense,39,90,83
BUF,Bills ,Eric Wood,Eric,Wood,C,80,2015,Offense,87,62,80
BUF,Bills ,Kraig Urbik,Kraig,Urbik,C,75,2015,Offense,93,60,95
BUF,Bills ,Garrison Sanborn,Garrison,Sanborn,C,57,2015,Offense,77,65,91
BUF,Bills ,Stephon Gilmore,Stephon,Gilmore,CB,86,2015,Defense,57,91,94
BUF,Bills ,Corey Graham,Corey,Graham,CB,84,2015,Defense,62,86,88
BUF,Bills ,Leodis McKelvin,Leodis,McKelvin,CB,80,2015,Defense,52,88,89
BUF,Bills ,Nickell Robey,Nickell,Robey,CB,74,2015,Defense,41,87,87
BUF,Bills ,Ross Cockrell,Ross,Cockrell,CB,73,2015,Defense,51,91,93
BUF,Bills ,Ronald Darby,Ronald,Darby,CB,70,2015,Defense,67,93,87
BUF,Bills ,Ron Brooks,Ron,Brooks,CB,69,2015,Defense,49,91,87
BUF,Bills ,Mario Butler,Mario,Butler,CB,67,2015,Defense,54,84,95
BUF,Bills ,Rod Sweeting,Rod,Sweeting,CB,67,2015,Defense,48,90,93
BUF,Bills ,Marcell Dareus,Marcell,Dareus,DT,94,2015,Defense,94,72,94
BUF,Bills ,Kyle Williams,Kyle,Williams,DT,93,2015,Defense,90,62,82
BUF,Bills ,Stefan Charles,Stefan,Charles,DT,70,2015,Defense,78,60,90
BUF,Bills ,Corbin Bryant,Corbin,Bryant,DT,69,2015,Defense,86,66,88
BUF,Bills ,Justin Hamilton,Justin,Hamilton,DT,64,2015,Defense,85,69,87
BUF,Bills ,Jerome Felton,Jerome,Felton,FB,88,2015,Offense,82,78,94
BUF,Bills ,John Conner,John,Conner,FB,77,2015,Offense,77,81,90
BUF,Bills ,MarQueis Gray,MarQueis,Gray,FB,65,2015,Offense,61,80,91
BUF,Bills ,Duke Williams,Duke,Williams,FS,76,2015,Defense,54,88,94
BUF,Bills ,Kenny Ladler,Kenny,Ladler,FS,63,2015,Defense,76,82,93
BUF,Bills ,LeSean McCoy,LeSean,McCoy,HB,88,2015,Offense,64,88,90
BUF,Bills ,Fred Jackson,Fred,Jackson,HB,82,2015,Offense,77,81,85
BUF,Bills ,Bryce Brown,Bryce,Brown,HB,72,2015,Offense,72,88,86
BUF,Bills ,Boobie Dixon,Boobie,Dixon,HB,72,2015,Offense,79,80,86
BUF,Bills ,Karlos Williams,Karlos,Williams,HB,69,2015,Offense,68,90,80
BUF,Bills ,Dan Carpenter,Dan,Carpenter,K,89,2015,Special Teams,50,58,83
BUF,Bills ,Jordan Gay,Jordan,Gay,K,66,2015,Special Teams,41,69,90
BUF,Bills ,Mario Williams,Mario,Williams,LE,90,2015,Defense,89,76,90
BUF,Bills ,Jarius Wynn,Jarius,Wynn,LE,77,2015,Defense,83,70,87
BUF,Bills ,Alex Carrington,Alex,Carrington,LE,72,2015,Defense,84,72,87
BUF,Bills ,John Miller,John,Miller,LG,71,2015,Offense,86,66,85
BUF,Bills ,Alex Kupper,Alex,Kupper,LG,70,2015,Offense,80,59,91
BUF,Bills ,Cyril Richardson,Cyril,Richardson,LG,64,2015,Offense,89,60,92
BUF,Bills ,Nigel Bradham,Nigel,Bradham,LOLB,83,2015,Defense,72,85,96
BUF,Bills ,Andrew Hudson,Andrew,Hudson,LOLB,56,2015,Defense,75,73,87
BUF,Bills ,Cordy Glenn,Cordy,Glenn,LT,86,2015,Offense,93,68,89
BUF,Bills ,Preston Brown,Preston,Brown,MLB,78,2015,Defense,81,76,97
BUF,Bills ,Jimmy Gaines,Jimmy,Gaines,MLB,64,2015,Defense,70,77,92
BUF,Bills ,Ty Powell,Ty,Powell,MLB,63,2015,Defense,81,83,92
BUF,Bills ,Colton Schmidt,Colton,Schmidt,P,66,2015,Special Teams,50,65,92
BUF,Bills ,Matt Cassel,Matt,Cassel,QB,75,2015,Offense,57,69,84
BUF,Bills ,E.J. Manuel,E.J.,Manuel,QB,73,2015,Offense,71,83,87
BUF,Bills ,Tyrod Taylor,Tyrod,Taylor,QB,72,2015,Offense,58,87,87
BUF,Bills ,Matt Simms,Matt,Simms,QB,63,2015,Offense,55,79,85
BUF,Bills ,Jerry Hughes,Jerry,Hughes,RE,85,2015,Defense,66,81,91
BUF,Bills ,Manny Lawson,Manny,Lawson,RE,77,2015,Defense,72,85,93
BUF,Bills ,Richie Incognito,Richie,Incognito,RG,79,2015,Offense,93,71,79
BUF,Bills ,Chris Williams,Chris,Williams,RG,75,2015,Offense,81,63,45
BUF,Bills ,William Campbell,William,Campbell,RG,67,2015,Offense,90,66,93
BUF,Bills ,Randell Johnson,Randell,Johnson,ROLB,69,2015,Defense,75,85,85
BUF,Bills ,Tony Steward,Tony,Steward,ROLB,65,2015,Defense,81,84,74
BUF,Bills ,A.J. Tarpley,A.J.,Tarpley,ROLB,64,2015,Defense,74,81,92
BUF,Bills ,Seantrel Henderson,Seantrel,Henderson,RT,76,2015,Offense,83,70,82
BUF,Bills ,Cyrus Kouandjio,Cyrus,Kouandjio,RT,67,2015,Offense,84,52,78
BUF,Bills ,Aaron Williams,Aaron,Williams,SS,79,2015,Defense,62,90,90
BUF,Bills ,Bacarri Rambo,Bacarri,Rambo,SS,74,2015,Defense,64,87,85
BUF,Bills ,Jonathan Meeks,Jonathan,Meeks,SS,65,2015,Defense,67,86,93
BUF,Bills ,Charles Clay,Charles,Clay,TE,86,2015,Offense,65,80,97
BUF,Bills ,Chris Gragg,Chris,Gragg,TE,72,2015,Offense,67,85,77
BUF,Bills ,Nick O'Leary,Nick,O'Leary,TE,69,2015,Offense,73,75,88
BUF,Bills ,Percy Harvin,Percy,Harvin,WR,86,2015,Offense,76,89,75
BUF,Bills ,Sammy Watkins,Sammy,Watkins,WR,85,2015,Offense,59,92,91
BUF,Bills ,Robert Woods,Robert,Woods,WR,80,2015,Offense,55,90,94
BUF,Bills ,Chris Hogan,Chris,Hogan,WR,72,2015,Offense,72,84,88
BUF,Bills ,Marcus Easley,Marcus,Easley,WR,68,2015,Offense,68,89,73
BUF,Bills ,Marquise Goodwin,Marquise,Goodwin,WR,68,2015,Offense,42,95,90
BUF,Bills ,Dezmin Lewis,Dezmin,Lewis,WR,67,2015,Offense,68,90,87
BUF,Bills ,Deonte Thompson,Deonte,Thompson,WR,65,2015,Offense,67,93,86
BUF,Bills ,Justin Brown,Justin,Brown,WR,63,2015,Offense,52,84,90
BUF,Bills ,Marcus Thigpen,Marcus,Thigpen,WR,61,2015,Offense,66,86,88
BUF,Bills ,Tobais Palmer,Tobais,Palmer,WR,59,2015,Offense,47,91,88
DEN,Broncos ,Gino Gradkowski,Gino,Gradkowski,C,70,2015,Offense,84,61,93
DEN,Broncos ,Max Garcia,Max,Garcia,C,65,2015,Offense,89,64,88
DEN,Broncos ,Matt Paradis,Matt,Paradis,C,63,2015,Offense,81,60,85
DEN,Broncos ,Chris Harris Jr.,Chris,Harris Jr.,CB,94,2015,Defense,52,89,88
DEN,Broncos ,Aqib Talib,Aqib,Talib,CB,90,2015,Defense,64,87,87
DEN,Broncos ,Bradley Roby,Bradley,Roby,CB,79,2015,Defense,55,94,87
DEN,Broncos ,Tony Carter,Tony,Carter,CB,73,2015,Defense,45,88,88
DEN,Broncos ,Kayvon Webster,Kayvon,Webster,CB,73,2015,Defense,53,91,91
DEN,Broncos ,Curtis Marsh,Curtis,Marsh,CB,69,2015,Defense,57,89,93
DEN,Broncos ,Lorenzo Doss,Lorenzo,Doss,CB,65,2015,Defense,61,89,92
DEN,Broncos ,Taurean Nixon,Taurean,Nixon,CB,61,2015,Defense,65,94,85
DEN,Broncos ,Sylvester Williams,Sylvester,Williams,DT,76,2015,Defense,84,70,93
DEN,Broncos ,Marvin Austin Jr.,Marvin,Austin Jr.,DT,72,2015,Defense,77,75,80
DEN,Broncos ,Darius Kilgo,Darius,Kilgo,DT,62,2015,Defense,92,67,88
DEN,Broncos ,James Casey,James,Casey,FB,80,2015,Offense,66,79,93
